branch	tip_sha	date	subject
feat/r1-accessibility-reviewer-skill	ce753e6ebfda7268634ee8c52ea65ea06cf75ccc	2026-05-03	feat(skills): add accessibility-reviewer skill mirroring security-reviewer
feat/r1-ai-personas-critique	517c4e073389754d0049a24db5c22322e9cbdbfd	2026-04-08	feat: add multi-persona AI criticism critique skill
feat/r1-arithmetic-skill	fd74fad690400863b41348a5ebc6dd9bbd9806c4	2026-04-08	feat: add arithmetic evaluation skill for verified computation
feat/r1-branch-stale-protocol	71aa5a230fd018e238d193b973b10f1881a78bf6	2026-05-03	feat(branch-strategy): add stale branch triage protocol (>7 day gate)
feat/r1-bug-diagnosis-hypothesis-source-tag	df99899af381e40eeff02e4402ed73e4edd77852	2026-05-03	feat(bug-diagnosis): tag hypotheses with one of five provenance sources
feat/r1-business-plan-critique-skill	e7a78ebfcc6f7a29f878e4d9885ca8e4ead18c64	2026-05-13	feat(skills): add business-plan-critique with investor-DD lenses and wire it into draft-review
feat/r1-calibration-report-script	4d285193f94e0f06cb391d8d81cc6d5bf2a726fd	2026-04-08	feat: add hypothesis calibration report script
feat/r1-code-review-failure-mode-check	bc6a58c7f85276785b2e44067743f7d7acccb2ea	2026-05-13	feat(code-review): add forward-looking failure-mode introduction scan to Stage 3
feat/r1-code-review-override-log	581346953dc0be28fa6f2fe1fb290c40408ee4c7	2026-05-03	feat(code-review): add override log with read-cite-write contract
feat/r1-code-review-rewrite-profile	545274470a6b2eadf2dd334d667aa954984fd422	2026-05-12	feat(code-review): switch to rewrite profile when any file exceeds 40% churn
feat/r1-dd-double-diamond-variant	7024da1e1d073490ec21c89a964b17f6be804c55	2026-04-28	feat(dd): add Double Diamond (Purpose-First) variant
feat/r1-dd-multi-lens-variant	d4b909500bdb00fc64b22350d6eb04d6b980a520	2026-05-03	docs(dd): add opt-in parallel-lens variant + boring fallback to step 1
feat/r1-dd-revisit-triggers	ff8c46b572144863b9cbdb10595852d715e40279	2026-05-03	feat(dd): add revisit triggers section to decision record template
feat/r1-epistemic-dd-workflow	0d29aa582cdafe282a169eecb769991e8c18b09a	2026-04-08	feat: add epistemic divergent design workflow for hypothesis-space expansion
feat/r1-fact-check-inline-citation	4febb7f05b576fa22fdb834b67ef3001345a1be6	2026-05-03	feat(fact-check): require inline citations on every verdict
feat/r1-failure-driven-design-workflow	5d805f36463c1543c186cd57af5ec00e907b1359	2026-05-13	feat: add failure-driven design workflow (generative counterpart to what-if-analysis)
feat/r1-gitignore-restructuring	cfab57140ebb6dd8df342a4f29b4e02eded6b1dd	2026-04-08	refactor: restructure docs/working/ into rounds/, reports/, scratch/ subdirs
feat/r1-hypothesis-evaluator-target-rule	c37b5c1406a1b241191572639a37cfc4e552b825	2026-06-23	docs(decision-012): record generation-time evaluator-target rule (script needs a resolvable skill/workflow in files_touched)
feat/r1-hypothesis-mandatory-odds	bb207bffbf24c972c788a28a150d384395a0c98d	2026-04-08	feat: add mandatory odds_ratio field to hypothesis system
feat/r1-ideas-backlog-restructure	90f45a021fb41ec0277d725051cc78dc1055c805	2026-04-08	feat: restructure ideas backlog with round-based lifecycle and prune rule
feat/r1-onboarding-coupling-matrix	af0b99b0ef19d5f6202cbb944c4a1bb3806265d3	2026-05-03	docs(onboarding): add optional Subsystem coupling matrix to architecture map output
feat/r1-onboarding-entry-point-inventory	6c57e78736481a11fecd5b102eb6eae43a75cb05	2026-05-03	feat(onboarding): add step 3 process-entry-point inventory between architecture map and flow tracing, with library skip criterion
feat/r1-onboarding-entry-points	497ddbc7bfd0ad2c332e0ff6f802f5a082c0804b	2026-05-03	feat(onboarding): add execution-entry-points enumeration step with library skip criterion
feat/r1-onboarding-from-scratch-branch	329ab2435e9ef83731d9715efa2d3b1b05e91d04	2026-05-12	feat(onboarding): add from-scratch gate that redirects tiny/new repos to a project-charter path
feat/r1-onboarding-serialization-addendum	6142e88ac78ca94555eaba444d345d8fd6ab3296	2026-05-03	feat(onboarding): add optional Data-serialization projects subsection to architecture mapping
feat/r1-persona-critique-freshness	4d6d69dcf436b32d91d13dda93c9f1edbbb247e1	2026-05-03	feat(skills): flag persona critiques whose persona-last-sampled is >180 days
feat/r1-pr-decision-record-citation	3dbcd78d1d4e53950e81e91c84b274c2ab3def4f	2026-05-15	feat(pr-prep): cite pre-existing decisions touched by the diff
feat/r1-pr-prep-pre-mortem-high-risk	6ee0ae8ce33e2cfe76d6487387a42eeeb5bed7bb	2026-05-15	feat(pr-prep): fire pre-mortem on high-risk PRs at gate-check stage
feat/r1-pr-prep-review-doc-commit	838157e1e92b66a1edf245ed545882bdcd3455ad	2026-04-06	fix: restore actively-referenced files removed by subtraction step
feat/r1-pr-prep-reviewer-orientation	a80b2b92014736f6d8baf87e7c687c5251af669c	2026-06-23	feat(pr-prep): require an intent-first "Reviewer's path — start here" section in the PR-description template
feat/r1-pr-prep-test-evidence	1967b8576df2677a29ae9bebe144c2ad8165c684	2026-05-03	feat(pr-prep): require test citations or waivers for every Major change
feat/r1-probability-calibration	bcb349d15b4c4847a7db15aa3aaa9c3a299d5073	2026-04-08	feat: add odds-ratio calibration tracking to hypothesis log
feat/r1-problem-framing-standalone-workflow	76b9de0ea839d732263c9eda72fc1df66452d1a7	2026-05-13	feat: extract problem framing into standalone workflow with explicit exit paths
feat/r1-r1-briefing-patterns-guide	d7ba8ad753c54308a036c450e650df5ad4b6b3fa	2026-04-29	docs: extract sub-agent briefing patterns into a reusable guide
feat/r1-r1-bug-diagnosis-env-failure	250d8ed7cb52910d39779d80346d2fefea36cbd1	2026-04-28	docs(bug-diagnosis): add step 0 to verify failure isn't preexisting
feat/r1-r1-claude-api-streaming-thinking	750361c7ebccb152e9e16232eb7ae60146c9927b	2026-04-28	feat(claude-api): add streaming + extended thinking subsection
feat/r1-r1-code-review-accurate-summary	b05c0dd1055d8d7921b49096c6fb6c9e54a02f83	2026-04-28	docs: require accurate-claims summary when truncating fact-check for critics
feat/r1-r1-code-review-escalation-rule-clarification	aaa0c6ebff03eaba5cfcce8b143a5fbc0e464083	2026-04-28	docs: clarify fact-check counts as flagger in escalation rule
feat/r1-r1-cowen-yglesias-tech-draft-calibration	3b7ae1efed2dbf08bb2d96ad153354d00f0b4ee7	2026-04-28	docs: calibrate cowen and yglesias critiques for technical drafts
feat/r1-r1-dd-double-diamond-variant	bab12c87519ad9de1e2bb56142a7c7b62de69cc6	2026-04-28	docs(dd): add Double Diamond (Purpose-First) variant
feat/r1-r1-dd-lens-checklist	b5541de3f2a3ca1d6dd4b0a049f899bee814c2ba	2026-04-28	feat(dd): add optional lens checklist to generate step
feat/r1-r1-drop-task-description-linter-deferred	07f0e6833a061319477ac81906edf1956cb19477	2026-04-29	feat(si): scope-tag hypotheses so internal-si ones don't surface as deferred user questions
feat/r1-r1-fact-check-quote-attribution	1d5311e0ae74e98f58353e476a6d70a67b054e1f	2026-04-28	docs(fact-check): add Quote attribution subsection
feat/r1-r1-goal-preamble-standard	3a53147329edc43d66cd28088455cc95365bb70a	2026-04-29	feat(orchestrators): standardize 3-line goal preamble for sub-agent prompts
feat/r1-r1-hypothesis-backlog-retirement-closure	7ca066850985105cb0d1e48e585e00501efad281	2026-04-28	docs: close R11-R14 hypothesis-backlog-retirement saga as abandoned
feat/r1-r1-hypothesis-first-task-gate	fc45fc63ba688b64583d37c9639e26dd22035c7e	2026-04-30	feat(self-improvement): add hypothesis_present early task gate
feat/r1-r1-hypothesis-surfacing-audit-fix	8e87333c2227316a7c4a81e808c8065b0effdb3e	2026-04-30	fix(si): surface INCONCLUSIVE hypotheses in morning summary deferred-evaluation section
