branch	verdict	value	rationale
feat/r1-calibration-report-script	RETIRE	LOW	Standalone hypothesis-calibration script parsing the removed docs/working/hypothesis-log.md; pure SI-loop introspection/measurement, deprioritized per the value lens.
feat/r1-code-review-rewrite-profile	REWORK	HIGH	Adds a rewrite-vs-diff review profile that genuinely changes what critics evaluate on near-total rewrites (real external impact), but targets the flat skills/code-review.md that became skills/code-review/SKILL.md.
feat/r1-dd-multi-lens-variant	REWORK	MED	Skeptic/simplifier/contrarian parallel-lens DD generation variant widens the candidate set, but DD was restructured and this should be re-applied to current divergent-design.md.
feat/r1-failure-driven-design-workflow	REWORK	MED	New failure-driven-design workflow with generative-vs-evaluative framing is a real workflow addition, but its CLAUDE.md routing-table rewrite (renumbering all rows) collides with main's restructured decision tree and needs re-application.
feat/r1-hypothesis-mandatory-odds	RETIRE	LOW	Adds an odds_ratio field to the SI task prompt and the removed hypothesis-log.md for calibration data; internal SI measurement plumbing, deprioritized.
feat/r1-onboarding-coupling-matrix	REWORK	MED	Optional subsystem coupling-matrix bullet improves the onboarding Architecture Map output for downstream change-scoping, but onboarding was restructured to 13 steps and needs re-anchoring.
feat/r1-onboarding-from-scratch-branch	REWORK	MED	From-scratch gate plus project-charter path stops onboarding mis-firing on empty repos (real output improvement), but must be reslotted into main's restructured 13-step onboarding.
feat/r1-onboarding-serialization-addendum	REWORK	MED	Data-serialization onboarding addendum (source/target/conversion/lossy-vs-lossless) directly fits the owner's board-game-digitization interest, but targets the restructured onboarding doc.
feat/r1-pr-decision-record-citation	REWORK	MED	Decisions-cited scan surfaces invariant drift to reviewers at PR time, but adds a 7th template section to main's now-six-section pr-prep template and needs re-application.
feat/r1-pr-prep-reviewer-orientation	REWORK	MED	Required reviewer's-path section orients reviewers fast (external review impact), but adds a 7th section to main's restructured six-section pr-prep template.
feat/r1-pr-prep-test-evidence	REWORK	MED	Per-major-change test-evidence requirement makes test gaps visible at PR time, but adds a 7th section to the restructured pr-prep template and needs re-application.
feat/r1-r1-claude-api-streaming-thinking	RETIRE	LOW	Adds an in-repo skills/claude-api.md supplement, but the claude-api skill in main is a bundled binary skill with no in-repo file, so the supplement is orphaned with nowhere canonical to live.
feat/r1-r1-code-review-accurate-summary	REWORK	MED	Prepending an accurate-claims summary when truncating fact-check output preserves verified-claim signal for downstream critics, but targets the flat skills/code-review.md that became a SKILL.md dir.
feat/r1-r1-cowen-yglesias-tech-draft-calibration	REWORK	MED	Technical-draft move-prioritization note for cowen/yglesias critics improves critique fit, but targets the flat skill files now under SKILL.md dirs (and overlaps later LIVE technical-draft siblings).
feat/r1-r1-dd-lens-checklist	REWORK	MED	Optional six-lens generation checklist widens DD candidate search, but should be re-applied to the restructured divergent-design.md diverge step.
feat/r1-r1-onboarding-entry-point-churn-trigger	REWORK	MED	One-sentence escalate-to-full-rerun-on-entry-point-churn refinement to the onboarding lightweight refresh is valuable but the refresh step was restructured; re-apply to current main.
feat/r1-r1-pr-prep-retro-doc-convention	MERGE	MED	Establishes docs/thoughts/retro-{branch-or-feature}.md naming so retros are discoverable; the exact old "docs/thoughts/ or a commit message" text it edits is still present verbatim in main, applies cleanly.
feat/r1-r1-review-fix-loop-convergence-summary	MERGE	MED	Symmetric convergence-summary PR line gives reviewers a calibration signal on clean exits; edits the still-verbatim main Tracking text, applies cleanly.
feat/r1-r1-rpi-back-from-dd-pivot	MERGE	MED	Adds an implementation-time "← From Divergent Design" back-pivot entry to RPI's When-to-pivot list; the list exists in main with no such entry, applies cleanly.
feat/r1-r1-spike-testability-gate	MERGE	MED	Two-line "operationalize the question before timeboxing" check for spike step 1 applies cleanly to current workflows/spike.md and improves the spike workflow's external output.
feat/r1-r1-user-testing-dd-handoff-convention	MERGE	MED	One-line edit telling user-testing to emit docs/working/testing-findings-{topic}.md before the DD pivot; applies cleanly and improves the user-testing-to-DD handoff.
feat/r1-si-cycle-framing-record	RETIRE	LOW	Per-cycle self-referential framing record is pure SI-loop introspection with no external workflow output.
feat/r1-si-duplicate-detector	RETIRE	LOW	Near-duplicate candidate surfacing is explicitly "informational" SI-loop observability, not external output.
feat/r1-si-input-failure-prompt	RETIRE	LOW	Adds a failure-modes section to the SI input template plus a non-existent templates/si-input.md; SI-loop plumbing, no external impact.
feat/r1-si-null-result	RETIRE	LOW	Lets an SI round legitimately produce no tasks; internal loop-control plumbing with no external workflow output, and competes with an unmerged sibling.
feat/r1-si-pre-round-health-check	RETIRE	LOW	Repo-integrity pre-round gate is SI-loop observability/plumbing; duplicate of an unmerged sibling, neither adopted.
feat/r1-si-value-revisit	RETIRE	LOW	Logs whether shipped features retained value as a lagging self-measurement signal; pure SI introspection.
feat/r1-user-testing-contrastive-analysis	MERGE	MED	Adds a Step 1.5 contrastive success/struggle pair analysis to user-testing; applies cleanly to current main and meaningfully improves the workflow's analysis output.
feat/r2-convergence-transparency-report	RETIRE	LOW	Self-describes as "output-only, does not change the gate decision" — textbook SI transparency-report introspection.
feat/r2-dd-scoring-rubric	MERGE	MED	Tightens both DD compatibility-matrix glyph keys to one-meaning-each; applies cleanly to current divergent-design.md and makes DD scoring output more consistent.
feat/r2-fact-check-temporal-anchor	REWORK	MED	Valuable "Accurate as of <date>" verdict subtype for time-bound claims, but targets the old flat skills/fact-check.md (main is skills/fact-check/SKILL.md) so it needs re-application.
feat/r2-hypothesis-evaluation-automation	RETIRE	LOW	LLM-free hypothesis evidence-gathering for human review is SI-loop introspection plumbing; built on a hypothesis mechanism largely removed by main's three-phase SI rewrite.
feat/r2-morning-summary-intentionality-aids	RETIRE	LOW	Morning-summary YES/NO adjudication aids are SI observability; area was heavily restructured in main, and the value is internal legibility.
feat/r2-mvp-process-headers	RETIRE	LOW	Adds "Quick Version" summary headers to workflow docs — a legibility/slimming aid that doesn't change external output, and one target file (bug-diagnosis) was removed from main.
feat/r2-onboarding-dd-double-diamond-handoff	MERGE	MED	Adds a from-scratch redirect from onboarding to the DD Double Diamond variant; applies cleanly and improves onboarding's external routing for framing-stage projects.
feat/r2-pr-prep-ci-triage	MERGE	HIGH	CI-failure triage-by-class table (caused-by-branch / pre-existing / flaky) applies cleanly to current pr-prep and meaningfully improves PR-prep external behavior.
feat/r2-pr-prep-decision-citation-checklist	MERGE	MED	Adds a "Decisions referenced:" PR-template line and checklist item (conscious check, regex dropped); applies cleanly and supports the owner's DD-decision-traceability interest.
feat/r2-pr-prep-failures-prevented-line	MERGE	MED	Adds an optional "Failures prevented" PR-description line plus checklist item; applies cleanly to current pr-prep and surfaces failure-driven value in PRs.
feat/r2-pr-prep-reviewer-orientation	MERGE	HIGH	Adds a required Reviewer's-path start-here PR section (named files in read-order) that directly improves reviewer experience; both pr-prep anchors still exist verbatim in main so it applies cleanly.
feat/r2-pr-prep-test-evidence-bounded	MERGE	MED	Adds a per-Major-change file:test_name evidence requirement with no-test waiver to the PR template; the six-sections completion anchor still exists in main so it applies cleanly.
feat/r2-r2-hypothesis-pipeline-integrity	RETIRE	LOW	Health-check #12 hypothesis-pipeline-integrity plus bats is SI-loop observability plumbing with no external workflow-output change.
feat/r2-r2-hypothesis-surfacing-fix	RETIRE	LOW	_count_surfaceable_hypotheses morning-summary surfacing-regression guard is internal SI introspection, not external output quality.
feat/r2-r2-pr-prep-scope-drift-check	MERGE	MED	Single checklist line flagging diff-files-vs-plan-scope drift to the human; its completion-criteria anchor exists verbatim in main and adds genuine reviewer value.
feat/r2-r2-si-round-purpose-header	RETIRE	LOW	Per-task-agent round-purpose header in self-improvement.sh is SI-loop legibility/introspection plumbing, deprioritized.
feat/r2-r2-task-status-block	MERGE	MED	Optional Done/In-progress/Blocked-on PR status block plus commit-footer convention; anchors present in main, useful for stacked and autonomous-mode work.
feat/r2-review-fix-loop-override-noise	REWORK	MED	Valuable override-log Won't-Fix noise-suppression for the review loop (override-log is live in main code-review), but review-fix-loop.md was restructured and the target anchors are absent, so re-apply.
feat/r2-review-fix-non-convergence	REWORK	MED	Useful a/b/c non-convergence cause taxonomy for escalation, but the review-fix-loop.md anchors are gone in main (restructured); pr-prep half applies, re-apply against current base.
feat/r2-rpi-checkpoint-freshness	MERGE	MED	One-line checkpoint Date freshness git-log check mirroring the doc-freshness pattern; the Continuation bullet it edits exists verbatim in main so it applies cleanly.
feat/r2-si-cycle-framing-shellcheck-clean	RETIRE	LOW	Per-cycle cycle-framing record emitter with a shellcheck-clean slug — introspection framing-record plumbing plus shellcheck-dodge framing, deprioritized.
feat/r2-si-emits-integration-refresh	RETIRE	LOW	run_integration_refresh wires branch-strategy integration refresh into the SI loop; internal loop machinery, not external workflow/skill output.
feat/r2-si-seed-addressed-echo	RETIRE	LOW	Seed adoption-gap echo (compute_seed_addressed_map / _summary_seed_adoption_gaps) is SI transparency-report plumbing, deprioritized.
feat/r2-spike-framing-patterns	REWORK	HIGH	Strong external improvement (three spike framings: binary/comparison/exploration with format conventions), but main already restructured the feasibility-criteria block the branch rewrites, so re-apply.
feat/r2-task-schema-path-validator	REWORK	MED	Real fix for the 50%-task-loss bug (rejects absolute/home/traversal paths in files_touched), genuine behavior; but validate_task_json moved to scripts/lib/si-functions.sh in main, so transplant the logic there.
feat/r2-ui-visual-review-semantic-a11y	REWORK	MED	Adds a WCAG-grounded semantic-accessibility checklist (item 8) that improves external review output, but it edits the old flat skills/ui-visual-review.md which main restructured into a SKILL.md directory.
feat/r2-workflow-transition-handoff-line	REWORK	MED	Defines the cross-workflow carried-from marker across DD/RPI/pr-prep for handoff continuity; the RPI anchor still exists but the change spans three restructured files, so re-apply as one coherent pass.
feat/r3-claude-api-failure-modes-line	MERGE	MED	Adds a new in-repo skills/claude-api.md supplement with common API integration failure-modes guidance; new file, applies clean with no conflict.
feat/r3-dd-diamond1-healthcheck-examples	MERGE	LOW	One-line enrichment adding worked examples (downstream-consumer perspective, schedule-dimension anchoring) to the DD framing health check; target line matches main verbatim, applies cleanly.
feat/r3-dd-diamond1-stakeholder-scope-grid	MERGE	MED	Adds a stakeholder/scope coverage matrix to DD framing diagnosis that forces multi-perspective candidate framings; clears the real-improvement bar and applies cleanly to main's framing list.
feat/r3-dd-step1-failure-mode-bullet	MERGE	MED	One diverge bullet enabling failure-driven generation (8-15 failure modes become hard constraints) for bug-fix/security/reliability design; cleanly applies and improves DD output for hardening tasks.
feat/r3-dd-step2-success-criterion-required	MERGE	MED	Requires an observable success line per hard constraint with worked good/bad examples, making the step-3 compatibility matrix actually scorable; anchor text still present in main so it applies near-cleanly.
feat/r3-morning-summary-stale-inconclusive-archive	RETIRE	LOW	SI morning-summary internal plumbing (surfaces stale INCONCLUSIVE hypotheses); deprioritized observability with no external workflow-output impact.
feat/r3-onboarding-fromscratch-dd-pointer-v3	MERGE	LOW	Single optional sentence pointing from-scratch onboarding at DD's Double Diamond variant; cheap, external-facing crosslink that applies cleanly.
feat/r3-post-merge-verification	RETIRE	LOW	SI merge-loop guard detecting empty-diffstat merges; internal SI plumbing, deprioritized rule.
