issue ID,issue summary,repo,commit ID,Pipeline raised,E2 raised,E4 raised,E5 raised,E6 raised,E7r1 raised (fable subscription; list-cost est),E7r2 raised (fable subscription; 5/8 cells scored - corpus/postfix/fscompat died pre-run),"E8 raised (evidence-discipline pipeline, full 8-instance sweep 2026-08-18)",fix status (including commit ID if fixed)
csp-R1,connect-src 'self' blocks the data:/blob fetch in exportGraph.ts - PNG export breaks,meta-formalism-copilot,d90d6bb,yes (historical label; fresh-rerun recovery config-dependent),no,no (cross-file),no (affirmatively certified clean),"yes (kept; first non-pipeline catch, exact shipped fix)",yes (exact cross-file mechanism),"yes (exact mechanism, CONFIRMED tier)",no (masked by CG4's scope carve-out for runtime-constructed URLs - see e8-results-2026-08-18.md 'The three misses'),fixed 4f018ab (toBlob)
csp-R2,proxy.ts:35-36 comment claims Edge runtime; middleware defaults to Node.js,meta-formalism-copilot,d90d6bb,yes,no,no (in-diff miss),no (endorsed the wrong claim),no,no,yes (Next 16 Node-runtime default named),"yes (Node-runtime comment, A6)",fixed in review-fix chain (commit unrecorded)
csp-A1,CSP set on response only - never on forwarded request headers so Next.js cannot extract the nonce (dead x-nonce plumbing),meta-formalism-copilot,d90d6bb,yes,yes,yes (3/3),yes,"near-miss (touched mechanism, inverted conclusion)",yes (exact mechanism incl. request-header fix; headline),partial (mechanism verified then empirically refuted for self-hosted - header merge proved by running dev+prod; kept as Vercel-portability caveat + dead x-nonce),yes,fixed in review-fix chain (commit unrecorded)
csp-A2,style-src 'unsafe-inline' misattributed to Tailwind v4,meta-formalism-copilot,d90d6bb,yes,no,no,no (endorsed),no,no,no,yes (first arm ever to catch this row),fixed in review-fix chain (commit unrecorded)
csp-A3,layout.tsx:27-30 comment misstates why await headers() is needed,meta-formalism-copilot,d90d6bb,yes,no,yes (3/3),yes,partial (kept; adjacent sentence),yes (tied causally to A1's survival),no (verifier endorsed the comment as accurate),yes,fixed in review-fix chain (commit unrecorded)
csp-A4,no tests pin the CSP directive list,meta-formalism-copilot,d90d6bb,yes,no,no (test-strategy class),no,no,partial (tests-absent flagged as generic convention gap),yes (buildCsp unit-testability named),yes,unknown/open
lean-R1,README/ARCHITECTURE docs stale (removed mock-pass fallback / localhost default still documented),meta-formalism-copilot,c95c9cb,yes,no,no (cross-file),yes (first arm to hit),not run,"yes (docs + deleted default + mock fallback, code-verified)",yes (both doc items named),yes (nine stale doc passages),open at scoring time
lean-R2,non-2xx verifier response masked as unavailable - upstream body discarded,meta-formalism-copilot,c95c9cb,yes,yes,yes (3/3),yes,not run,no (summary-only evidence; full report unsaved),yes (503 queue-full consequence verified),yes,fix pending in post-c95c9cb commit
lean-A1,verifyLean() client drops the route's typed reason/detail fields,meta-formalism-copilot,c95c9cb,yes,yes,yes (3/3),no,not run,no (summary-only evidence; full report unsaved),yes (write-only-fields framing),yes (dropped reason/detail),unknown/open
hyg-R1,SSE protocol JSDoc documents {error - details} but emit site sends {error} only,meta-formalism-copilot,f2f149b,yes,yes,yes (3/3),yes,not run,not scored (run died at $15 budget cap; zero output),yes (exact line),yes,unknown/open (still stale at f2f149b)
hyg-A1,invalid-JSON logging asymmetry: shared artifactRoute.ts:107 still logs 500-char preview after edit/artifact tightened,meta-formalism-copilot,f2f149b,yes,no,no (cross-file),yes (first arm to hit),not run,not scored (run died at $15 budget cap; zero output),yes (exact file:line; half-applied-redaction framing),yes (RED),unknown/open
